Bank,CERT,City,Deposits_$K,Card_issuer_rail,Rail_evidence,BizCard_page_URL,Application_link,Card_products,Apply_method,Confidence,Source_links,Screen_date
"Town Bank, National Association",34717,Hartland,3719776,Elan,"Own biz card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc.""; CTA goes to creditcardlearnmore.com",https://www.townbank.us/small-business/borrowing/credit-cards.html,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35591&ecid=OTHE_25940,Business credit cards (Elan Visa - low rate / cash back / flexible rewards),Online self-serve via Elan creditcardlearnmore portal,VERIFIED-own-page,https://www.townbank.us/small-business/borrowing/credit-cards.html,2026-07-26
One Community Bank,22334,Oregon,1997100,SELF,"No TCM/Elan/TIB domain or disclosure anywhere; cardholder servicing at mycardstatement.com and rewards at scorecardrewards.com (Fiserv) = bank's own agent program. No third-party apply domain found.",https://onecommunity.bank/business/other-services/,NOT-FOUND (contact bank; no online application published),Business VISA credit card (ScoreCard rewards); VISA Platinum (consumer),Branch/contact-us (608-838-3141) - no online self-serve application,INFERRED,https://onecommunity.bank/business/other-services/ | https://onecommunity.bank/personal/consumer-loans/credit-cards/,2026-07-26
Horicon Bank,11236,Horicon,1443770,SELF,"Own biz card page names no third-party issuer; links only to mycardstatement.com and scorecardrewards.com (Fiserv) and a Horicon-hosted PDF application. No mycommunitycc.com / cardaccount.net / Elan text.",https://www.horiconbank.com/business-credit-cards.html,https://www.horiconbank.com/sft1492/businesscreditcardapplication.pdf,HB Rewards Credit Card (Visa Business; ScoreCard Rewards),PDF application - secure message to CreditCard@horiconbank.com / drop off / mail (no online self-serve),VERIFIED-own-page,https://www.horiconbank.com/business-credit-cards.html,2026-07-26
The Port Washington State Bank,8698,Port Washington,922861,Elan,"Own biz card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc.""; Compare Cards link to creditcardlearnmore.com",https://pwsb.bank/business-credit-card.html,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00114&ecid=OTHE_25940,Elan Visa Business Credit Card,Online self-serve via Elan creditcardlearnmore portal,VERIFIED-own-page,https://pwsb.bank/business-credit-card.html,2026-07-26
Farmers and Merchants Union Bank,14445,Columbus,783784,Elan,"Own Card Services page offers Visa credit cards ""for consumers, young adults and businesses"" and the only card servicing link is https://www.myaccountaccess.com/onlineCard/login.do (Elan). No TCM/mycommunitycc.com, no TIB/cardaccount.net.",https://fmub.bank/card-services.html,NOT-FOUND (no online business application published; Contact Us),FMUB Visa credit cards (consumer / young adult / business),Branch/contact (920-623-4000) - no online self-serve business application found,VERIFIED-own-page,https://fmub.bank/card-services.html,2026-07-26
Dairy State Bank,17162,Rice Lake,644588,Elan,"Own business credit card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""; servicing via myaccountaccess.com?theme=elan2&loc=12246",https://dairystatebank.com/business/credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12246&ecid=OTHE_25940,Business credit cards (Elan: low rate / cash back / flexible rewards),Online self-serve via Elan creditcardlearnmore portal,VERIFIED-own-page,https://dairystatebank.com/business/credit-cards/ | https://dairystatebank.com/,2026-07-26
Hiawatha National Bank,13058,Hager City,596152,NO-CARD,"hnbank.com (CERT 13058, Hager City WI) publishes no credit card product at all. Business Value Added Services page: ""does not mention business credit cards"" - only debit/ATM and cash management. Resources page also debit-only. NOTE: do not confuse with Hiawatha Bank & Trust (hiawathabank.com), a different entity.",https://www.hnbank.com/business/value-added-services,NONE,None published (debit/ATM cards only),n/a - no credit card product offered,VERIFIED-own-page,https://www.hnbank.com/business/value-added-services | https://www.hnbank.com/resources/helpful-information | https://www.hnbank.com/,2026-07-26
WOODTRUST BANK,5335,Wisconsin Rapids,574444,SELF,"Own site markets ""corporate credit cards"" in Business Banking with no third-party issuer disclosure; Card Services Support page links only scorecardrewards.com (Fiserv) and gives in-house credit card service line 800.221.5920. Consumer card rates quoted as Prime+5.9%/+4.9% (bank-set pricing). No mycommunitycc.com / TCM Bank text / Elan / cardaccount.net anywhere.",https://www.woodtrust.com/business-banking/,NOT-FOUND (no online application; call Banking Services 715.423.7600),Corporate credit cards; Classic and Gold credit cards (consumer); ScoreCard rewards,Branch/phone - no online self-serve application,INFERRED,https://www.woodtrust.com/business-banking/ | https://woodtrust.com/card_services_support.asp,2026-07-26
Capitol Bank,34074,Madison,497652,SELF,"NOT TCM. Own pages state: ""Through our partnership with Bankers' Bank, we offer three consumer VISA credit card plans"" and three distinct VISA business credit card plans; processor is FIS (svc 1-800-423-7503), Community BankCard Dept at Bankers' Bank 1-877-636-7244. Apply portal is lp.applycommunitycard.com (Bankers' Bank Community BankCard), not mycommunitycc.com and no ""TCM Bank, N.A."" text.",https://capitol.bank/business-credit-cards.html,https://lp.applycommunitycard.com/?merchantId=S83GDKD32O,VISA Business Credit Card (three business plans); three consumer VISA plans,Online self-serve application portal + supporting docs (personal guaranty/beneficial owner form),VERIFIED-own-page,https://capitol.bank/business-credit-cards.html | https://capitol.bank/credit-cards.html,2026-07-26
State Bank Financial,10383,La Crosse,451824,Elan,"Own Visa Business Credit Cards page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc.""; cardholder login myaccountaccess.com",https://www.statebankfinancial.bank/loans-credit/credit-cards/visa-business-credit-cards.html,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00230&ecid=OTHE_25940#business,Visa Business Credit Cards (low rate / cash back / flexible rewards),Online self-serve via Elan creditcardlearnmore portal,VERIFIED-own-page,https://www.statebankfinancial.bank/loans-credit/credit-cards/visa-business-credit-cards.html,2026-07-26
