Bank,CERT,City,Deposits_$K,Card_issuer_rail,Rail_evidence,BizCard_page_URL,Application_link,Card_products,Apply_method,Confidence,Source_links,Screen_date
Johnson Bank,20296,Racine,5836686,Elan,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply button goes to creditcardlearnmore.com",https://www.johnsonfinancialgroup.com/business/cash-management/business-credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=3924&ecid=OTHE_25940#business,Business credit cards (product names not itemized); commercial One Card separately,Online self-serve (Apply Now) or phone 888.769.3796 opt 2,VERIFIED-own-page,https://www.johnsonfinancialgroup.com/business/cash-management/business-credit-cards/,2026-07-26
Bank Five Nine,12517,Oconomowoc,2174252,Elan,"Own page: ""To learn more, and/or to apply for an Elan Visa Consumer credit card, or an Elan Visa Business credit card, click below."" Apply link = creditcardlearnmore.com; servicing = myaccountaccess.com",https://www.bankfivenine.com/business/lending/business-credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=0117&ecid=OTHE_25940,Elan Visa Business credit card,Online self-serve (Apply Now) or contact cash management advisor,VERIFIED-own-page,https://www.bankfivenine.com/business/lending/business-credit-cards/,2026-07-26
CCFBank National Association,57265,Altoona,1588094,Elan,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Servicing link = myaccountaccess.com",https://ccf.us/business/business-banking/credit-cards/,Not published on page (Learn More link is #nogo); contact bank,Smart Business Rewards Card (Elan),Branch/phone contact - no live online apply link on page,VERIFIED-own-page,https://ccf.us/business/business-banking/credit-cards/,2026-07-26
Forward Bank,28530,Marshfield,1001728,Elan,"Own page discloses: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply links go to mycardapply.com (Elan)",https://www.forward.bank/business/business-credit-cards/,https://www.mycardapply.com/synindex/product?ecdma-lc=12176&ecid=OTHE_25940&offertype=143,Visa Business Cash Preferred; Visa Business Zero+; Smart Business Rewards Visa; Visa Business Real Rewards,Online self-serve (per-product apply links),VERIFIED-own-page,https://www.forward.bank/business/business-credit-cards/,2026-07-26
River Bank,14995,Stoddard,795014,Elan,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc."" Apply/Learn More = creditcardlearnmore.com",https://riverbank.biz/business-credit-cards.html,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00099&ecid=OTHE_25940#business,Visa/American Express business cards via Elan (low rate / cash back / flexible rewards),Online self-serve (Learn More/Apply),VERIFIED-own-page,https://riverbank.biz/business-credit-cards.html,2026-07-26
Westbury Bank,28400,Waukesha,706433,Elan,"Bank's own /credit-cards.html 301-redirects to Elan portal creditcardlearnmore.com (lc=23490); Westbury-branded portal discloses ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc., and Mastercard International Incorporated."" (NOTE: a TCM claim found in search results belongs to name-twin West Bank of Iowa, westbankstrong.com - not Westbury)",https://westburybankwi.com/credit-cards.html,https://creditcardlearnmore.com/11t3/index?ecdma-lc=23490&ecid=OTHE_25940#business,Business Cash Preferred Card; Smart Business Rewards Card; Business Real Rewards Card,Online self-serve via Elan co-branded portal,VERIFIED-own-page,https://westburybankwi.com/credit-cards.html | https://creditcardlearnmore.com/11t3/index?ecdma-lc=23490&ecid=OTHE_25940#business,2026-07-26
Community State Bank,9536,Union Grove,606540,TCM,"Own page Apply Now links to https://www.mycommunitycc.com/LELXHsifa1vI/business/ (TCM Bank agent portal) and discloses ""This card is issued by TCM Bank, N.A. Subject to credit approval."" Servicing = mycardstatement.com",https://csb.bank/business-credit-cards.html,https://www.mycommunitycc.com/LELXHsifa1vI/business/,Visa Small Business Rewards Platinum; Visa Small Business Platinum; Company Expense Charge Card,Online self-serve (Apply Now to mycommunitycc.com),VERIFIED-own-page,https://csb.bank/business-credit-cards.html,2026-07-26
DMB Community Bank,14769,Madison,580196,TCM,"Own page application link = https://www.mycommunitycc.com/bVO9ZnG461td and page states ""If you have any questions about applying for a DMB Credit Card, please contact TCM Bank Customer Service at (800) 883-0131."" Servicing = ezbusinesscardmanagement.com",https://www.deforestbank.com/business-credit-card/,https://www.mycommunitycc.com/bVO9ZnG461td,Commercial Credit Card (DMB business credit card),Online self-serve (mycommunitycc.com application) with TCM phone support,VERIFIED-own-page,https://www.deforestbank.com/business-credit-card/,2026-07-26
Community First Bank,11595,Boscobel,530940,Elan,"Own business credit card page apply link = creditcardlearnmore.com (lc=0507) and cardholder access = myaccountaccess.com/onlineCard/login.do?theme=elan2&loc=0507 - both Elan Financial Services domains. No TCM/mycommunitycc reference. (Entity confirmed: cfbank.com = Community First Bank HQ 925 Wisconsin Ave Boscobel WI; distinct from Community First Bank of Rosholt WI at cfbwi.bank)",https://www.cfbank.com/Business/Bank/Cards/Credit-Cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=0507&ecid=OTHE_25940,Business Visa Credit Cards (product names not itemized),Online self-serve (Apply/Learn More to Elan portal),VERIFIED-own-page,https://www.cfbank.com/Business/Bank/Cards/Credit-Cards | https://www.cfbank.com/Locations-Hours,2026-07-26
PremierBank,5295,Fort Atkinson,456623,Elan,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Business apply link = creditcardlearnmore.com (lc=32342); access = myaccountaccess.com theme=elan1",https://www.bankwithpremier.com/loans/credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=32342&ecid=OTHE_25940,Business Credit Cards (product names not itemized),Online self-serve (Apply to Elan portal),VERIFIED-own-page,https://www.bankwithpremier.com/loans/credit-cards/,2026-07-26
