Bank,CERT,City,Deposits_$K,Card_issuer_rail,Rail_evidence,BizCard_page_URL,Application_link,Card_products,Apply_method,Confidence,Source_links,Screen_date
"Associated Bank, National Association",5296,Green Bay,35800709,Elan,Apply link goes to card.myaccountaccess.com/credit/visa-smart-business-rewards.do; page disclosure: 'Elan Financial Services provides Zero Fraud Liability for unauthorized transactions. Cardmember must notify Elan Financial Services promptly of any unauthorized use.',https://www.associatedbank.com/business/cards/business-credit-cards,https://card.myaccountaccess.com/credit/visa-smart-business-rewards.do?exp=&lang=en&redirect=smartbusinessvisa,Visa Smart Business Rewards Card; Business Specialty Cards; Commercial Rewards Card; One Card,online,VERIFIED-own-page,https://www.associatedbank.com/business/credit-and-lending/business-credit-cards | https://www.associatedbank.com/business/cards/commercial-credit-cards,2026-07-26
Lake Ridge Bank,15091,Middleton,2764955,SELF,No TCM/mycommunitycc reference. 'Apply Online Today' button -> https://lrb.onlineportalnow.com/#/login/email (bank-branded subdomain); card management via https://spendtrack.fiservapp.com/lake-ridge-bank/login (Fiserv SpendTrack). No third-party issuer disclosure on page.,https://www.lakeridge.bank/business/accounts-and-cards/accounts/credit-cards/,https://lrb.onlineportalnow.com/#/login/email,"VISA Business Credit Card (no-annual-fee, 0% intro 6 mo, cash back or points)",online,VERIFIED-own-page,https://www.lakeridge.bank/business/accounts-and-cards/accounts/credit-cards/ | https://www.lakeridge.bank/business/accounts-and-cards/accounts/credit-cards/spendtrack/,2026-07-26
"Bank First, N.A.",5304,Manitowoc,5133172,SELF,"Own-page names Bank First as issuer/creditor: ""Bank First N.A. account relationship(s) are considered for qualifications for credit card products."" Card management portal is onlinebanking.firstdata.com/ecs/bank-first (Fiserv/First Data) and rewards via UChooseRewards.com. No TCM/TIB/Elan/CorServ mention.",https://bankfirst.com/business-credit-cards.html,,First Business Rewards; First Business Rewards Elite,"Branch/Relationship Manager (""contact a Relationship Manager at your local office"") - no online application",VERIFIED-own-page,https://bankfirst.com/business-credit-cards.html | https://bankfirst.com/credit-cards.html,2026-07-26
North Shore Bank,28679,Brookfield,2163064,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply domain mycardapply.com; servicing myaccountaccess.com",https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards,https://www.mycardapply.com/synindex/?ecdma-lc=12201&ecid=OTHE_25940&offertype=0#business,Visa Business credit cards (low rate / cash back / flexible rewards); Business Travel Card,Online self-serve via Elan mycardapply.com,VERIFIED-own-page,https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards,2026-07-26
"WaterStone Bank, SSB",28513,Wauwatosa,1465485,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply domain mycardapply.com (Elan)",https://www.wsbonline.com/business/business-cards/business-credit-cards/,https://www.mycardapply.com/synindex/?ecdma-lc=01649&ecid=OTHE_25940&offertype=0,Business credit cards (low rate / cash back / rewards; product names not listed),Online self-serve via Elan mycardapply.com,VERIFIED-own-page,https://www.wsbonline.com/business/business-cards/business-credit-cards/,2026-07-26
Citizens Bank,13055,Mukwonago,992753,Elan,"Own-page (Cards & Payments) disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc."" Apply domain creditcardlearnmore.com (Elan)",https://www.citizensbankwi.bank/business/cards-and-payments,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00285&ecid=OTHE_25940,Visa Business Credit Card (low rate / cash back / flexible rewards),Online self-serve via Elan creditcardlearnmore.com,VERIFIED-own-page,https://www.citizensbankwi.bank/business/cards-and-payments,2026-07-26
"Bank First, N.A.",5304,Manitowoc,5133172,SELF,"Own-page names Bank First as issuer/creditor: ""Bank First N.A. account relationship(s) are considered for qualifications for credit card products."" Card management portal is onlinebanking.firstdata.com/ecs/bank-first (Fiserv/First Data) and rewards via UChooseRewards.com. No TCM/TIB/Elan/CorServ mention.",https://bankfirst.com/business-credit-cards.html,,First Business Rewards; First Business Rewards Elite,"Branch/Relationship Manager (""contact a Relationship Manager at your local office"") - no online application",VERIFIED-own-page,https://bankfirst.com/business-credit-cards.html | https://bankfirst.com/credit-cards.html,2026-07-26
North Shore Bank,28679,Brookfield,2163064,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply domain mycardapply.com; servicing myaccountaccess.com",https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards,https://www.mycardapply.com/synindex/?ecdma-lc=12201&ecid=OTHE_25940&offertype=0#business,Visa Business credit cards (low rate / cash back / flexible rewards); Business Travel Card,Online self-serve via Elan mycardapply.com,VERIFIED-own-page,https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards,2026-07-26
"WaterStone Bank, SSB",28513,Wauwatosa,1465485,Elan,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply domain mycardapply.com (Elan)",https://www.wsbonline.com/business/business-cards/business-credit-cards/,https://www.mycardapply.com/synindex/?ecdma-lc=01649&ecid=OTHE_25940&offertype=0,Business credit cards (low rate / cash back / rewards; product names not listed),Online self-serve via Elan mycardapply.com,VERIFIED-own-page,https://www.wsbonline.com/business/business-cards/business-credit-cards/,2026-07-26
Citizens Bank,13055,Mukwonago,992753,Elan,"Own-page (Cards & Payments) disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc."" Apply domain creditcardlearnmore.com (Elan)",https://www.citizensbankwi.bank/business/cards-and-payments,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00285&ecid=OTHE_25940,Visa Business Credit Card (low rate / cash back / flexible rewards),Online self-serve via Elan creditcardlearnmore.com,VERIFIED-own-page,https://www.citizensbankwi.bank/business/cards-and-payments,2026-07-26
