Tier,Institution,SoCal?,County,Cities,Self-UW,Biz card,Card link,No-doc (+grade),ChexSystems,EWS,Bureau (hard pull),Est. limit,Apply,Website,Sources
TIER 1,CITY NATIONAL BANK (https://www.cnb.com),YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Los Angeles, Long Beach, Ontario",SELF,YES,link (https://www.cnb.com/business-banking/lending/credit-cards/commercial.html),partial (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Credit-Cards/City-National-Bank-Crystal-credit-card-review/td-p/5469704),NO (COMMUNITY-DP),NO (VERIFIED-own-doc),Experian — but only from CONSUMER Crystal Visa Infinite myFICO DPs; business Cry (CONSUMER-PROXY) (https://ficoforums.myfico.com/t5/Credit-Cards/City-National-Bank-Crystal-credit-card-review/td-p/5469704),,Contact-form/banker (https://www.cnb.com/business-banking/lending/credit-cards/commercial.html),https://www.cnb.com,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html
TIER 1,COMMERCIAL BANK OF CALIFORNIA (https://cbcal.com),YES,Los Angeles; Orange,Irvine,—,NO (deposit-only),link,unknown (-),NO (VERIFIED-own-doc),NO (VERIFIED-own-doc),,,No,https://cbcal.com,NOTE: Own site has NO issued business-card product (differentiates payment-processing from issuing). Kept in Tier 1 as a deposit-only verified no-Chex/no-EWS option — pair with a Tier-1/2 card from another row. | https://cbcal.com/
TIER 1,BENEFICIAL STATE BANK (https://www.beneficialstatebank.com),YES,Los Angeles,Oakland,SELF,YES,link (https://www.beneficialstatebank.com/business-banking/credit-cards),unknown (none-found) (https://www.beneficialstatebank.com/business-banking/credit-cards),NO (VERIFIED-own-doc),NO (VERIFIED-own-doc),No bureau DP; 2 business cards offered but issuer/rail and bureau not disclosed  (UNKNOWN) (https://wallethub.com/credit-cards/beneficial-state-bank-13004997i),,Banker/contact (no online app; primary officer or client team) (https://www.beneficialstatebank.com/business-banking/credit-cards),https://www.beneficialstatebank.com,https://www.beneficialstatebank.com/business-banking/credit-cards
TIER 2,First-Citizens Bank & Trust Company (https://www.firstcitizens.com),YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Raleigh, Long Beach",SELF,YES,link (https://www.firstcitizens.com/small-business/credit-financing/credit-cards),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/No-doc-cc-or-bloc/td-p/6726109),NO (COMMUNITY-DP),UNK,Mixed/all-three reported (single DP: pulls all 3 personal + blends with business (COMMUNITY-DP (single thread; tri-pull claim from search snippet - verify in thread)) (https://ficoforums.myfico.com/t5/Business-Credit/20k-First-Citizens-Low-Interest-Business-CC-approval/td-p/6704468),$0,In-person (https://www.firstcitizens.com/small-business/credit-financing/credit-cards/compare),https://www.firstcitizens.com,https://www.firstcitizens.com/small-business/credit-financing/credit-cards
TIER 2,BMO Bank National Association (https://www.bmo.com),YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Chicago, Long Beach, Rancho Cucamonga",SELF,YES,link (https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/),partial (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/BMO-Harris-Business-Platinum-7-500/td-p/6773916),UNK,UNK,TransUnion - BMO business Platinum card cited as a 'pulls TransUnion only' card; (https://fairfigure.com/blog/business-credit-cards-that-pull-transunion),$0,Online (https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/),https://www.bmo.com,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/
TIER 2,"Zions Bancorporation, N.A. (https://www.calbanktrust.com)",YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Salt Lake City, Long Beach",SELF,YES,link (https://www.calbanktrust.com/business/business-credit-cards/),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Credit-Cards/ZIONS-BANK-U-aware/td-p/3690006),UNK,UNK,No new business-specific DP found; myFICO threads (ZIONS BANK U aware; Anyone wi (CONSUMER-PROXY) (https://ficoforums.myfico.com/t5/Credit-Cards/Anyone-with-experience-Zion-Bancorp/td-p/1835533),$0,Online (https://secureapps-b.calbanktrust.com/zbc/naop/form/render?productLine=CREDIT_CARD&dc=SELF_SERVICE&ipq=false&customerType=Commercial&formType=NewBusinessAccount&affiliateNumber=140&productId=184),https://www.calbanktrust.com,https://www.calbanktrust.com/business/business-credit-cards/
TIER 2,LOGIX FEDERAL CREDIT UNION (https://www.logixbanking.com),YES,Los Angeles; Ventura,Valencia,SELF,YES,link (https://www.logixbanking.com/business/credit-card),unknown (-) (https://ficoforums.myfico.com/t5/Credit-Card-Approvals/Logix-CU-approval-asked-twice-but-in/td-p/2675251),UNK,UNK,Experian — membership soft pull = EX; consumer credit card hard pull = EX (myFIC (CONSUMER-PROXY) (https://ficoforums.myfico.com/t5/Credit-Card-Applications/Goodbye-to-Logix-Federal-Credit-Union/td-p/5148851),$0,Appointment (schedule with business banking team; no direct online app) (https://www.logixbanking.com/business/credit-card),https://www.logixbanking.com,https://www.logixbanking.com/business/credit-card
TIER 2,SAN DIEGO COUNTY CREDIT UNION (https://www.sdccu.com),YES,Riverside; Orange; San Diego,San Diego,SELF,YES,link (https://www.sdccu.com/business/business-credit-card/),unknown (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Credit-Cards/San-DIego-County-Credit-Union-SDCCU-Does-anyone-have-any-DP-s-or/td-p/6761567),UNK,UNK,Experian for membership AND credit cards (re-uses membership HP for card) (B) (https://ficoforums.myfico.com/t5/Credit-Cards/San-DIego-County-Credit-Union-SDCCU-Does-anyone-have-any-DP-s-or/td-p/6761567),$5,Online (https://www.sdccu.com/business/business-credit-card/),https://www.sdccu.com,https://www.sdccu.com/business/business-credit-card/
TIER 2,CALIFORNIA FEDERAL CREDIT UNION (https://www.ccu.com),YES,Los Angeles; Orange; San Diego,"Glendale, Long Beach, Fontana, Rancho Cucamonga",SELF,YES,link (https://www.ccu.com/business/loans/business-credit-cards),⭐ YES (VERIFIED-own-page) (https://www.californiabankofcommerce.com/business-financing-solutions/),UNK (CONSUMER-PROXY),UNK,Experian (consumer-card myFICO DP); no business-card-specific DP found (CONSUMER-PROXY) (https://ficoforums.myfico.com/t5/Credit-Card-Applications/Do-any-credit-cards-only-hard-pull-from-Equifax/td-p/6729520),$0,In-person,https://www.ccu.com,https://www.ccu.com/business/loans/business-credit-cards
TIER 2,Enterprise Bank & Trust (https://www.enterprisebank.com),YES,Los Angeles; Orange; San Diego,Clayton,SELF,YES,link (https://www.enterprisebank.com/business/credit-cards),unknown (none-found) (https://www.enterprisebank.com/business/credit-cards),UNK,UNK,Experian-LEANING via Elan rail — business cards (Smart Business Rewards Visa Sig (RAIL-INFERENCE) (https://www.enterprisebank.com/business/credit-cards),$0,Contact banker (phone/email/form; no online app),https://www.enterprisebank.com,https://www.enterprisebank.com/business/credit-cards
