Institution,Rank,Prior_Chex,New_Chex_finding,Chex_business_specific,Prior_EWS,New_EWS_finding,Leniency_note,Source_links,Notes
"WESTAMERICA BANK",48,"UNKNOWN (P2 searched 2026-06-12, no data)","Yes — VERIFIED own Deposit Agreement (eff. 2026-02-02): 'new accounts are subject to verification through ChexSystems (the Reporting Agency) and may be declined based in whole or in part on information obtained in a report'; unsatisfactory accounts 'are reported to ChexSystems' [VERIFIED own-doc; 2026-06-12]","Clause is signer-based and account-type-agnostic: 'by request to open an account... or by becoming an authorized signer on an account with us, we may obtain credit information' — agreement governs business + consumer deposit accounts (separate consumer-only Reg E carve-outs prove biz in scope)","UNKNOWN","No mention — 0 'Early Warning' hits in full Deposit Agreement (lean-no, verified-absence) [2026-06-12]","Unknown leniency; no second-chance product found","https://www.westamerica.com/wp-content/uploads/2019/01/ADV009-Deposit-Agreement-rev0226.pdf","UNKNOWN→VERIFIED upgrade. Doc fetched + text-extracted 2026-06-12; Chex dispute address (Chex Systems Inc, PO Box 583399, Minneapolis) printed in doc."
"PCB BANK",77,"UNKNOWN","Weak — own Fraud Prevention Tips page lists ChexSystems contact (800-328-5121/800-428-9623) '*Regarding closed checking accounts only' under 'Reporting Theft or Fraudulent Use of Checks' — consumer-advice list, NOT screening evidence; screening vendor still UNKNOWN [WEAK own-site mention; 2026-06-12]","UNKNOWN — no business-account screening language public","UNKNOWN","UNKNOWN — no EWS evidence found [2026-06-12]","Unknown","https://www.mypcbbank.com/security/fraud-prevention-tips","Korean-American LA bank; no deposit agreement PDF indexed; site search 2026-06-12 found no other Chex/EWS hits."
"MONTECITO BANK & TRUST",98,"UNKNOWN (v6 searched 2026-06-10, no data)","Not-named — own Deposit Account Terms and Disclosures (Rev. 2026-03-16, fetched/extracted): NO ChexSystems/QualiFile anywhere; only generic 'we may report information about you... to a Consumer Reporting Agency' if account 'maintained in an unsatisfactory manner' [VERIFIED-absence own-doc; 2026-06-12]","Deposit T&D covers BUSINESS ACCOUNTS section explicitly; same generic-CRA furnishing clause applies to joint holders + authorized signers; no biz screening vendor named","UNKNOWN","Furnishes-YES (closures) — VERIFIED own Consumer Online Banking Agreement (Rev. 2024-03-05): 'The Bank may disclose information about your account-to-account verification services, such as Early Warning Services, LLC, for example, if we close your account because of your unsatisfactory handling, fraud or attempted fraud or criminal activity' — inquiry-side UNKNOWN [VERIFIED own-doc; 2026-06-12]","Unknown leniency","https://montecito.bank/pdf/deposit-account-terms-and-disclosures | https://montecito.bank/pdf/consumer-online-banking-agreement","UNKNOWN→partial-known upgrade: EWS furnish verified; Chex not named in own docs (lean-no on Chex screening, not conclusive)."
"EVERTRUST BANK",157,"UNKNOWN","Generic-CRA-clause — own Online Account Opening T&C PDF: 'reports from third parties, including credit and consumer reporting agencies, to verify your eligibility for the account' — vendor UNNAMED; 0 Chex/QualiFile hits [VERIFIED-absence own-doc; 2026-06-12]","UNKNOWN — OAO doc is deposit-generic; business accounts open via branch; no biz-specific screening language","UNKNOWN","No mention — 0 'Early Warning' hits in OAO T&C (lean-no) [2026-06-12]","Unknown","https://www.evertrustbank.com/Portals/EverTrustBank/PDF/OAO_terms_and_conditions.pdf","Doc fetched + text-extracted 2026-06-12; verification clause exists but names no bureau — ask banker which vendor."
"FIRST PACIFIC BANK",207,"UNKNOWN","No new data — site:firstpacbank.com search 2026-06-12: only privacy policy/FAQ; no deposit agreement online; no Chex/EWS DPs anywhere [searched, no data; 2026-06-12]","UNKNOWN — SBA/commercial-focused bank, branch onboarding; no public screening language","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.firstpacbank.com/resources/frequently-asked-questions/","UNKNOWN stays UNKNOWN."
"ENDEAVOR BANK",175,"UNKNOWN","No new data — searches 2026-06-12 (own site, depositaccounts, general): no deposit agreement public, no Chex/EWS DPs; consultative business-only bank (est. 2018) [searched, no data; 2026-06-12]","Business-first bank; accounts opened via banker — screening vendor unpublished","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.depositaccounts.com/banks/endeavor-bank.html","UNKNOWN stays UNKNOWN."
"BEACH CITIES COMMERCIAL BANK",283,"UNKNOWN","No new data — searches 2026-06-12: de novo (opened 2023-06-12) commercial-only bank; only EFT disclosure public; no Chex/EWS mention [searched, no data; 2026-06-12]","Commercial/professional-market bank — consumer Chex screening likely irrelevant to its channel, but vendor unknown","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://beachcitiescb.com/Online-Security/","UNKNOWN stays UNKNOWN."
"AVIDBANK",92,"UNKNOWN","Yes — VERIFIED own Privacy Policy/CCPA page (fetched via UA 2026-06-12): 'We also collect... information from consumer credit reporting agencies and ChexSystems, a network for reporting checking account issues' [VERIFIED own-doc; 2026-06-12]","Avidbank is a commercial/venture bank (business clients) — Chex collection per privacy policy applies to its client onboarding; no consumer-vs-business carve-out stated","UNKNOWN","No EWS mention found on site or in DPs [searched 2026-06-12]","Unknown; relationship/commercial channel may allow manual override","https://www.avidbank.com/privacy-policy-ccpa","UNKNOWN→VERIFIED upgrade. Site 403s normal fetchers; retrieved with browser user-agent."
"FIVE STAR BANK",53,"UNKNOWN","No new data — own /disclosures page (fetched 2026-06-12) has no deposit agreement or vendor name; no DPs anywhere; CAUTION: five-starbank.com = Five Star Bank NY twin, do not cross-apply [searched, no data; 2026-06-12]","Commercial bank, RM onboarding; vendor unpublished","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.fivestarbank.com/disclosures","UNKNOWN stays UNKNOWN. Twin-risk documented."
"MISSION BANK",108,"UNKNOWN","No new data — searches 2026-06-12: no deposit agreement public, no Chex/EWS DPs (Bakersfield business bank; missionbankaz.com is an AZ twin) [searched, no data; 2026-06-12]","Business-focused bank; branch/RM onboarding; vendor unpublished","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.missionbank.bank/","UNKNOWN stays UNKNOWN. Twin-risk (Mission Bank AZ) documented."
"MISSION VALLEY BANK",183,"UNKNOWN","No new data — own FAQ page covers FDIC only; no deposit agreement online; no DPs [searched, no data; 2026-06-12]","Business-first bank (Sun Valley); RM channel; vendor unpublished","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.missionvalleybank.com/faq/","UNKNOWN stays UNKNOWN."
