Name,Type,City,Deposits,Assets,Website,Biz_card,Card_link,Intro_0pct,Terms_note,Underwriter,UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
EAST WEST BANK,Bank,Pasadena,69086073,82474471,https://www.eastwestbank.com,YES,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments,NO (none shown; corporate One Card),One Card corporate card; APR/fees set by Elan; consumer-style terms not published,Elan,Live page: issued by Elan Financial Services pursuant to Visa USA license; Elan may change APRs/fees,Phone/banker,tel:888-761-3967 (no online apply),,,"LIVE-CONFIRMS (commercial-only One Card, Elan, no online apply)",OK — US eastwestbank.com; distinct from EastWest Bank Philippines,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments,2026-06-11
CATHAY BANK,Bank,El Monte,20697975,24035136,https://www.cathaybank.com,YES,https://www.cathaybank.com/business/credit-cards,"YES — intro APR 6 mo (Mastercard Business Platinum, purchases+BT; rate not shown)","MC Business Platinum (low rate, 6-mo intro) + Business Platinum Rewards (1% cash back unlimited); APR/AF on Elan storefront",Elan,Live footer: creditor and issuer of these cards is Elan Financial Services (Visa/Mastercard licenses),Online,https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940&offertype=0#business,,,"LIVE-CONFIRMS (Elan, 6-mo intro, 1% cash back, online apply)",OK — cathaybank.com (US); not Cathay United Bank (TW),https://www.cathaybank.com/business/credit-cards,2026-06-11
Comerica Bank,Out-of-state bank with CA branches (SOD),,14908067,,https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html,YES,https://branchoffer.com/11t1/smart-business-rewards?bankercode=seg313&ecdma-lc=09077&ecid=OTHE_26646,NO on Smart Business Rewards (no 0% intro APR; $0 intro AF yr1). Prior 0% 12cyc Business Cash not re-verifiable (comerica.com 503),"Smart Business Rewards: 2X top-2 categories, 20K pts/$500 SUB, $95 AF after yr1, 18.24-25.24% var; ExtendPay",Elan,Live branchoffer page: issued by Elan Financial Services; Elan storefront platform,Online,https://branchoffer.com/11t1/smart-business-rewards?bankercode=seg313&ecdma-lc=09077&ecid=OTHE_26646,,,PRIOR-RICHER (Smart Biz Rewards $95-after-yr1 + Elan LIVE-CONFIRMED; Business Cash 0% 12cyc from prior only — comerica.com 503-blocked),"OK — Comerica Bank (Dallas TX HQ, CA branches); no twin",https://branchoffer.com/11t1/smart-business-rewards?bankercode=seg313&ecdma-lc=09077&ecid=OTHE_26646,2026-06-11
TRI COUNTIES BANK,Bank,Chico,8408678,9946447,https://www.tcbk.com,YES,https://www.tcbk.com/business/credit-cards,NO (no 0% intro on live page),"Visa Business / Business Platinum (1.5% cash back, $0 AF) / Commercial / Purchasing / Fleet; APR N/M",SELF,Live page own-branded Visa lineup; no Elan/TCM/FNBO/agent named; no Elan storefront link; web search finds no Elan tie,Branch/banker,In branch or 1-800-922-8742 (no online apply on page),,,"LIVE-CONFIRMS (self-issued, no 0%, $0 AF, 1.5% Platinum, in-person apply)",OK — tcbk.com Tri Counties Bank (Chico CA); no twin,https://www.tcbk.com/business/credit-cards,2026-06-11
HANMI BANK,Bank,Los Angeles,6801918,7789627,https://www.hanmi.com,YES,https://www.hanmi.com/business/business-credit-cards/,YES — Business Zero+ 0% up to 18 billing cycles (purch+BT); Business Real Rewards 0% 6 cycles,"4 Elan cards: Zero+, Real Rewards, Cash Preferred, Smart Business Rewards; AF not on page; note: a Google snippet for same URL cites World/World Elite issued by Fifth Third (possible newer commercial program) but live page shows Elan lineup",Elan,Live page: creditor and issuer of these cards is Elan Financial Services; apply links to mycardapply.com,Online,"https://www.mycardapply.com (per-card links from hanmi.com page, ecdma-lc=36069)",,,"LIVE-CONFIRMS (Elan, Business Zero+ 0% 18 cycles, online apply)",OK — hanmi.com Hanmi Bank LA; not Hanmi (Korea) entities,https://www.hanmi.com/business/business-credit-cards/,2026-06-11
FREMONT BANK,Bank,Fremont,5269655,5915963,https://www.fremontbank.com,YES,https://www.fremontbank.com/business/credit/platinum-credit-card,YES — 0% 6 months purchases+BT (Business Platinum),"Business Platinum: 0% 6mo then 12.49-20.49% var, $0 AF any year, 3%/$10 BT fee; also Platinum Low Rate (Prime+2.99), Platinum Rewards, World Elite; customers only",SELF (CorServ Apex platform),Fremont Bank is creditor; applications/servicing via fremontbank.myapexcard.com (CorServ Apex); no Elan/TCM/FNBO,Online,https://fremontbank.myapexcard.com/apply?id=&pid=2610388620,,,"LIVE-CONFIRMS (0% 6mo, 12.49-20.49%, $0 AF, Apex/CorServ, online)",OK — fremontbank.com (CA); not Fremont Bank of Nebraska (fnbfremont),https://www.fremontbank.com/business/credit/platinum-credit-card; https://www.fremontbank.com/business/credit,2026-06-11
EDUCATIONAL EMPLOYEES CREDIT UNION,Credit Union,Fresno,4616425,5376699,https://www.myeecu.org,NO,,,Consumer Visa cards only; site nav has no business banking section or business card,,n/a — no business card,n/a,,,,LIVE-CONFIRMS (no business credit card; consumer Visa only),"TWIN ALERT handled — myeecu.org (Fresno CA) verified, NOT eecu.org (EECU Fort Worth TX)",https://www.myeecu.org/home/home,2026-06-11
STANFORD FEDERAL CREDIT UNION,Credit Union,Palo Alto,3709005,4800514,https://www.sfcu.org,YES,https://www.sfcu.org/business/business-credit-card,NO (no 0% intro found live),"Business Rewards Visa: to $50K; 2%/2pts dining+food delivery, 1% else as monthly statement credit; NO AF/BT/CA/FTX fees; reqs: 640 FICO, 2 yrs in business, SFCU biz checking 6 mo; APR 16.00-17.99% var per prior (not re-shown in snippets; sfcu.org 403s direct fetch)",SELF,sfcu.org hosts own Visa Application and Solicitation Disclosure (/visa-application-and-solicitation-disclosure); no Elan/TCM/FNBO references,Online (members),https://www.sfcu.org/business/business-credit-card,,Live: 640 min score + 2yrs in business + 6-mo biz checking prereq (tightens prior no-doc read),"LIVE-CONFIRMS (self-issued, $50K, fee-free, 640 min); PRIOR-RICHER on exact APR (16.00-17.99% prior; site 403-blocked)",OK — sfcu.org Stanford FCU (Palo Alto); not Stanford CU of other states,https://www.sfcu.org/business/business-credit-card; https://www.sfcu.org/visa-application-and-solicitation-disclosure,2026-06-11
PROVIDENT CREDIT UNION,Credit Union,Redwood City,3191602,3625344,https://www.providentcu.org,YES,https://www.providentcu.org/business/business-credit-cards,NO 0% (prior noted 6-mo reduced intro rate; not visible on live page),"Business Rewards Visa (1pt/$1 uncapped, to $50K, no employee-card fees) + Business Share Secured Visa (120% pledge, min $600, qualify w/o credit history); APR/AF not on live page",SELF,Own-branded Visa products on providentcu.org; no Elan/TCM/FNBO named live; prior: Velera/PSCU processing,Online (member flow: new members open biz savings first; existing via online banking),https://providentcu.org/business/business-credit-cards/apply,,,PRIOR-RICHER (live confirms cards/$50K/online; 6-mo reduced intro + $0 AF from prior not re-shown live),OK — providentcu.org (Redwood City CA); distinct from Provident Savings Bank Riverside and Provident Bank NJ,https://www.providentcu.org/business/business-credit-cards; https://www.providentcu.org/business/business-credit-cards/apply,2026-06-11
PCB BANK,Bank,Los Angeles,2898675,3395119,https://www.mypcbbank.com,YES,https://www.mypcbbank.com/business/business-credit-cards,PRIOR: 0% 12 cycles -> 17.24-26.24% (Elan storefront creditcardlearnmore.com fetch-blocked; not re-verified live),"Elan biz lineup (low rate / cash back / flexible rewards); free expense reporting, free employee cards",Elan,Live page snippet: creditor and issuer is Elan Financial Services (Visa/Mastercard licenses),Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=33608&ecid=OTHE_25940,,,PRIOR-RICHER (Elan + biz cards LIVE-CONFIRMED; 0% 12cyc + APR from prior; storefront domain blocked),"OK — mypcbbank.com PCB Bank (LA, ex-Pacific City Bank); not CPB Hawaii",https://www.mypcbbank.com/business/business-credit-cards,2026-06-11
