Name,Type,City,Deposits,Assets,Website,Biz_card,Card_link,Intro_0pct,Terms_note,Underwriter,UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
BMO Bank National Association,Out-of-state bank with CA branches (SOD),,35458327,,https://www.bmo.com,YES,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,0% 18 mo purchases+BT (Business Platinum),$0 AF; 12.74-21.74% var after intro; Business Platinum Rewards variant also offered,SELF,BMO-branded card pages + BMO-hosted Summary of Credit Terms PDF (bmo.com/en-us/pdf/credit/BMOBusinessPlatinumRewards.pdf); BMO Bank N.A. self-issues,Online,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,not visible live (prior DP: TransUnion),not visible live,LIVE-CONFIRMS (0% 18mo $0 AF Platinum; bmo.com 503-blocked direct fetch — confirmed via indexed bmo.com pages/PDF + reviews),OK — BMO Bank N.A. (US; ex-BMO Harris/Bank of the West) not Bank of Montreal Canada retail,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/ | https://www.hustlermoneyblog.com/bmo-business-platinum-mastercard-review/,2026-06-11
MECHANICS BANK,Bank,Walnut Creek,18251541,21403986,https://www.mymechanics.com,YES,https://www.mymechanics.com/business/loans-credit/business-credit-cards/,0% 12 billing cycles (Cash Preferred; purchases+BT); 0% 6 cycles (Real Rewards),Cash Preferred: 17.24-26.24% after intro $0 AF 3% gas/EV/cell/office/dining; Smart Business Rewards $0 intro then $95 AF; Real Rewards 1.5X $0 AF,Elan Financial Services,"Verbatim on bank page: ""The creditor and issuer of these cards is Elan Financial Services""",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=23692&ecid=OTHE_25940,not visible live (prior: TransUnion varies),not visible live,LIVE-CONFIRMS (Elan; 0% 12 cycles; 17.24-26.24%; $0 AF; 3% categories all match prior),OK — Mechanics Bank Walnut Creek CA at mymechanics.com (not Mechanics Bank of Richmond twin issue; same entity),https://www.mymechanics.com/business/loans-credit/business-credit-cards/ | https://creditcardlearnmore.com/11t3/index?ecdma-lc=23692&ecid=OTHE_25940,2026-06-11
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",Bank,San Francisco,12639000,15126000,https://www.bankofamerica.com,NO,,,Subsidiary charter has no own card program; all BofA business cards issued by parent Bank of America N.A. (CFPB agreement database lists Bank of America N.A. as issuer),N/M,CFPB credit card agreement DB + business.bankofamerica.com card pages all name Bank of America N.A. as issuer,N/M,,N/M,N/M,LIVE-CONFIRMS (no card from CA subsidiary; parent self-issues),NOTE — twin risk real: distinct charter from Bank of America N.A. (Charlotte); no separate web presence for CA entity,https://business.bankofamerica.com/en/credit-cards | https://www.consumerfinance.gov/credit-cards/agreements/issuer/bank-of-america-national-association/,2026-06-11
STAR ONE CREDIT UNION,Credit Union,Sunnyvale,8244608,9584478,https://www.starone.org,NO,,,Consumer-only Visa Signature/Platinum Rewards/Platinum; no business cards or business banking on site,N/M,starone.org/borrow/credit-cards lists only 3 consumer Visa cards; no business section,N/M,,N/M,N/M,LIVE-CONFIRMS (consumer-only; no business card),OK — Star One CU Sunnyvale CA = starone.org,https://www.starone.org/borrow/credit-cards,2026-06-11
PREFERRED BANK,Bank,Los Angeles,6432233,7655086,https://www.preferredbank.com,YES,https://www.preferredbank.com/business/loans-and-credit/credit-cards,0% 12 billing cycles (Cash Preferred; purchases+BT); 0% 6 cycles (Real Rewards),Cash Preferred: 17.24-26.24% after intro $0 AF 3% gas/EV/cell/office/dining + $100 software credit; Smart Business Rewards $95 AF after yr1; Real Rewards 1.5X $0 AF,Elan Financial Services,"Verbatim on bank page: ""The creditor and issuer of these cards is Elan Financial Services""",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=25483&ecid=OTHE_25940#business,not visible live (prior: TransUnion varies),not visible live,LIVE-CONFIRMS (Elan verbatim; 0% 12 cycles; 17.24-26.24%; $0 AF),OK — Preferred Bank LA at preferredbank.com (not Preferred Bank Kosciusko MS twin),https://www.preferredbank.com/business/loans-and-credit/credit-cards | https://creditcardlearnmore.com/11t3/index?ecdma-lc=25483&ecid=OTHE_25940#business,2026-06-11
CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Glendale,4866121,5413638,https://www.ccu.com,YES,https://www.ccu.com/business/loans/business-credit-cards,NO 0% intro,Business Platinum 8.25-15.25% / Business Rewards (1% cash back) 9.25-16.25% (site rates dated 2021-10-19; Prime-indexed monthly); $0 AF; 3%/$10 cash adv; 1% FTF,SELF,No third-party issuer named on page; CU Business Banking Dept handles directly (prior: CCU is creditor per agreement; MeridianLink=processor),In-person,phone (800) 293-6494 or branch — no online application,not visible live (prior DP: Experian per CU-answered Q&A),not visible live (prior: PG + financials-on-request covenant),LIVE-CONFIRMS (no 0%; 8.25-15.25%; $0 AF; Platinum+Rewards 1%; phone/branch apply only),OK — ccu.com = California Credit Union Glendale (operating name of California Federal CU charter); city matches,https://www.ccu.com/business/loans/business-credit-cards,2026-06-11
FIVE STAR BANK,Bank,Roseville,4480237,5031561,https://www.fivestarbank.com,YES,https://www.fivestarbank.com/credit-cards,not stated (no public terms),Commercial Corporate Card Program (Mastercard) only — virtual cards/expense mgmt; no APR/fee/intro disclosed; relationship-based,SELF,Bank-run Corporate Card Program with named in-house VP Credit Card Product Manager (Julio Valenzuela); CorServ platform per prior — CorServ NOT named on live page,In-person,contact VP Credit Card Product Manager / 800-416-6117 — no public application,N/M,N/M,PRIOR-RICHER (live confirms commercial corporate card + no public apply; CorServ attribution not visible live),"VERIFIED — fivestarbank.com logo states ""Five Star Bank, Roseville, CA"" (NY twin is five-starbank.com)",https://www.fivestarbank.com/credit-cards,2026-06-11
BANK OF MARIN,Bank,Novato,3458796,3913468,https://www.bankofmarin.com,YES,https://www.bankofmarin.com/products-and-services/credit-cards/,0% 12 cycles (Cash Preferred) / 6 cycles (Real Rewards) — standard Elan suite; per-card terms behind learnmore link,Low rate/cash back/flexible rewards Elan suite; free employee cards; expense tools; bank page shows no APR/AF detail,Elan Financial Services,"Verbatim on bank page: ""The creditor and issuer of these cards is Elan Financial Services""",Online,via creditcardlearnmore.com (linked from bank page),not visible live (prior: TransUnion-lean CA),not visible live,LIVE-CONFIRMS (Elan verbatim; online apply via learnmore; intro terms consistent with Elan suite verified today at sister banks),OK — Bank of Marin Novato CA = bankofmarin.com,https://www.bankofmarin.com/products-and-services/credit-cards/,2026-06-11
COMMUNITY WEST BANK,Bank,Fresno,3147540,3697225,https://www.communitywestbank.com,YES,https://www.communitywestbank.com/business-banking/business-online-banking/business-credit-cards,NO 0% intro,Business No Fee Card $0 AF + Business Choice Rewards $49 AF; both Prime+10.99%; 1pt/$1 to 10K/mo; 25-day grace,"TIB, National Association","Verbatim on live cardaccount.net app: ""the issuer and administrator of the credit card program is TIB, National Association""",Online,https://www.cardaccount.net/application/f87a3255c0/business/new,not visible live (prior: Experian),not visible on app page (prior: financials $10K+),LIVE-CONFIRMS TIB + LIVE-CONTRADICTS v6 note (v6 attributed cardaccount.net rail to TCM Bank N.A. — live app names TIB N.A. verbatim); terms match prior (no 0%; Prime+10.99%; $0/$49),OK — communitywestbank.com Fresno CA (distinct from Community West CU Michigan + West Bank Iowa twins in search results),https://www.cardaccount.net/application/f87a3255c0/business/new | https://www.communitywestbank.com/business-banking/business-online-banking/business-credit-cards,2026-06-11
Banner Bank,Out-of-state bank with CA branches (SOD),,2610504,,https://www.bannerbank.com,YES,https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,0% 12 months purchases+BT (Business Platinum MC),12.49-17.49% var after intro; $0 AF incl employee cards; Business Cash Rewards variant also offered,SELF,"Banner Bank issues directly; downloadable Banner application, no third-party issuer named",In-person,"download application + bring to branch (""Download an application and bring it to a branch near you to apply"")",not visible live (prior: mentor-only TransUnion DP unverified),not visible on page (prior PDF: PG joint&several + guarantor SSN/income/net worth + gross revenue),LIVE-CONFIRMS (0% 12mo; $0 AF; self-issued; branch apply; prior richer on app-form underwriting detail),OK — Banner Bank (Walla Walla WA) with CA branches; bannerbank.com,https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,2026-06-11
